time,frame,fps,current_point,allocated_chunks,active_compute_cores,chunks_generation_queue
0,0,50,0,6,6,6
0.01666667,1,50,0,6,6,6
0.03333334,2,58,0,6,6,6
0.05,3,30,0,6,6,6
0.06666667,4,60,0,6,1,1
0.08333334,5,60,0,26,20,20
0.1,6,59,0,26,20,20
0.1166667,7,61,0,30,24,24
0.1333333,8,59,0,30,4,4
0.15,9,60,0,94,62,62
0.1666667,10,60,0,98,58,58
0.1833333,11,59,0,98,62,62
0.2,12,61,0,98,62,62
0.2166667,13,60,0,98,4,4
0.2333333,14,57,0,162,58,58
0.25,15,53,0,214,62,62
0.2666667,16,60,0,214,62,62
0.2833333,17,59,0,214,62,62
0.3,18,58,0,214,62,62
0.3166667,19,45,0,214,35,35
0.3333333,20,19,0,246,27,27
0.35,21,35,0,306,60,60
0.3666667,22,40,0,306,60,60
0.3833333,23,60,0,306,49,49
0.4,24,34,0,334,29,29
0.4166667,25,33,0,386,39,39
0.4333333,26,27,0,402,57,57
0.45,27,25,0,426,47,47
0.4666667,28,36,0,430,39,39
0.4833333,29,59,0,430,24,24
0.5,30,38,0,430,55,55
0.5166667,31,60,0,430,47,47
0.5333334,32,60,0,430,39,39
0.55,33,59,0,430,55,55
0.5666667,34,38,0,430,43,43
0.5833333,35,58,0,430,28,28
0.6,36,39,0,430,55,55
0.6166667,37,23,0,430,39,39
0.6333333,38,36,0,430,41,41
0.65,39,60,0,438,53,53
0.6666667,40,48,0,454,27,27
0.6833333,41,32,0,458,42,42
0.7,42,21,0,478,52,52
0.7166666,43,60,0,478,52,52
0.7333333,44,43,0,478,52,52
0.75,45,52,0,514,31,31
0.7666667,46,31,0,514,21,21
0.7833334,47,39,0,514,47,47
0.8,48,35,0,514,47,47
0.8166667,49,60,0,522,30,30
0.8333333,50,60,0,522,35,35
0.85,51,59,0,522,8,8
0.8666667,52,59,0,522,8,8
0.8833333,53,60,0,522,8,8
0.9,54,60,0,522,0,0
0.9166667,55,59,0,522,0,0
0.9333333,56,61,0,522,0,0
0.95,57,60,0,522,0,0
0.9666666,58,58,0,522,0,0
0.9833333,59,61,0,522,0,0
1,60,59,0,522,0,0
1.016667,61,61,0,522,0,0
1.033333,62,60,0,522,0,0
1.05,63,60,0,522,0,0
1.066667,64,57,0,522,0,0
1.083333,65,63,0,522,0,0
1.1,66,60,0,522,0,0
1.116667,67,60,0,522,0,0
1.133333,68,59,0,522,0,0
1.15,69,61,0,522,0,0
1.166667,70,60,0,522,0,0
1.183333,71,60,0,522,0,0
1.2,72,60,0,522,0,0
1.216667,73,59,0,522,0,0
1.233333,74,61,0,522,0,0
1.25,75,58,0,522,0,0
1.266667,76,61,0,522,0,0
1.283333,77,59,0,522,0,0
1.3,78,58,0,522,0,0
1.316667,79,62,0,522,0,0
1.333333,80,58,0,522,0,0
1.35,81,58,0,522,0,0
1.366667,82,62,0,522,0,0
1.383333,83,60,0,522,0,0
1.4,84,59,0,522,0,0
1.416667,85,62,0,522,0,0
1.433333,86,58,0,522,0,0
1.45,87,62,0,522,0,0
1.466667,88,59,0,522,0,0
1.483333,89,60,0,522,0,0
1.5,90,58,0,522,0,0
1.516667,91,62,0,522,0,0
1.533333,92,61,0,522,0,0
1.55,93,59,0,522,0,0
1.566667,94,57,0,522,0,0
1.583333,95,64,0,522,0,0
1.6,96,60,0,522,0,0
1.616667,97,59,0,522,0,0
1.633333,98,58,0,522,0,0
1.65,99,62,0,522,0,0
1.666667,100,59,0,522,0,0
1.683333,101,60,0,522,0,0
1.7,102,61,0,522,0,0
1.716667,103,60,0,522,0,0
1.733333,104,59,0,522,0,0
1.75,105,59,0,522,0,0
1.766667,106,62,0,522,0,0
1.783333,107,59,0,522,0,0
1.8,108,58,0,522,0,0
1.816667,109,62,0,522,0,0
1.833333,110,59,0,522,0,0
1.85,111,61,0,522,0,0
1.866667,112,57,0,522,0,0
1.883333,113,63,0,522,0,0
1.9,114,60,0,522,0,0
1.916667,115,60,0,522,0,0
1.933333,116,60,0,522,0,0
1.95,117,59,0,522,0,0
1.966667,118,61,0,522,0,0
1.983333,119,60,0,522,0,0
2,120,60,0,522,0,0
2.016667,121,60,0,522,0,0
2.033333,122,60,0,522,0,0
2.05,123,59,0,522,0,0
2.066667,124,60,0,522,0,0
2.083333,125,59,0,522,0,0
2.1,126,60,0,522,0,0
2.116667,127,60,0,522,0,0
2.133333,128,58,0,522,0,0
2.15,129,62,0,522,0,0
2.166667,130,60,0,522,0,0
2.183333,131,60,0,522,0,0
2.2,132,60,0,522,0,0
2.216667,133,58,0,522,0,0
2.233333,134,62,0,522,0,0
2.25,135,59,0,522,0,0
2.266667,136,61,0,522,0,0
2.283333,137,60,0,522,0,0
2.3,138,58,0,522,0,0
2.316667,139,61,0,522,0,0
2.333333,140,59,0,522,0,0
2.35,141,59,0,522,0,0
2.366667,142,62,0,522,0,0
2.383333,143,59,0,522,0,0
2.4,144,61,0,522,0,0
2.416667,145,60,0,522,0,0
2.433333,146,59,0,522,0,0
2.45,147,58,0,522,0,0
2.466667,148,62,0,522,0,0
2.483333,149,60,0,522,0,0
2.5,150,61,0,522,0,0
2.516667,151,60,0,522,0,0
2.533333,152,58,0,522,0,0
2.55,153,62,0,522,0,0
2.566667,154,59,0,522,0,0
2.583333,155,59,0,522,0,0
2.6,156,62,0,522,0,0
2.616667,157,58,0,522,0,0
2.633333,158,61,0,522,0,0
2.65,159,59,0,522,0,0
2.666667,160,58,0,522,0,0
2.683333,161,62,0,522,0,0
2.7,162,59,0,522,0,0
2.716667,163,61,0,522,0,0
2.733333,164,59,0,522,0,0
2.75,165,60,0,522,0,0
2.766667,166,60,0,522,0,0
2.783333,167,59,0,522,0,0
2.8,168,58,0,522,0,0
2.816667,169,62,0,522,0,0
2.833333,170,59,0,522,0,0
2.85,171,62,0,522,0,0
2.866667,172,59,0,522,0,0
2.883333,173,59,0,522,0,0
2.9,174,62,0,522,0,0
2.916667,175,59,0,522,0,0
2.933333,176,61,0,522,0,0
2.95,177,59,0,522,0,0
2.966667,178,58,0,522,0,0
2.983333,179,62,0,522,0,0
3,180,59,0,522,0,0
3.016667,181,61,0,522,0,0
3.033333,182,59,0,522,0,0
3.05,183,61,0,522,0,0
3.066667,184,60,0,522,0,0
3.083333,185,59,0,522,0,0
3.1,186,61,0,522,0,0
3.116667,187,59,0,522,0,0
3.133333,188,58,0,522,0,0
3.15,189,62,0,522,0,0
3.166667,190,59,0,522,0,0
3.183333,191,58,0,522,0,0
3.2,192,62,0,522,0,0
3.216667,193,59,0,522,0,0
3.233333,194,61,0,522,0,0
3.25,195,59,0,522,0,0
3.266667,196,37,0,522,0,0
3.283333,197,60,0,522,0,0
3.3,198,59,0,522,0,0
3.316667,199,59,0,522,0,0
3.333333,200,62,0,522,0,0
3.35,201,59,0,522,0,0
3.366667,202,58,0,522,0,0
3.383333,203,62,0,522,0,0
3.4,204,58,0,522,0,0
3.416667,205,62,0,522,0,0
3.433333,206,59,0,522,0,0
3.45,207,59,0,522,0,0
3.466667,208,62,0,522,0,0
3.483333,209,59,0,522,0,0
3.5,210,62,0,522,0,0
3.516667,211,59,0,522,0,0
3.533333,212,61,0,522,0,0
3.55,213,60,0,522,0,0
3.566667,214,58,0,522,0,0
3.583333,215,59,0,522,0,0
3.6,216,62,0,522,0,0
3.616667,217,61,0,522,0,0
3.633333,218,60,0,522,0,0
3.65,219,58,0,522,0,0
3.666667,220,61,0,522,0,0
3.683333,221,59,0,522,0,0
3.7,222,59,0,522,0,0
3.716667,223,62,0,522,0,0
3.733333,224,59,0,522,0,0
3.75,225,61,0,522,0,0
3.766667,226,59,0,522,0,0
3.783333,227,58,0,522,0,0
3.8,228,62,0,522,0,0
3.816667,229,59,0,522,0,0
3.833333,230,58,0,522,0,0
3.85,231,62,0,522,0,0
3.866667,232,60,0,522,0,0
3.883333,233,60,0,522,0,0
3.9,234,59,0,522,0,0
3.916667,235,58,0,522,0,0
3.933333,236,62,0,522,0,0
3.95,237,59,0,522,0,0
3.966667,238,58,0,522,0,0
3.983333,239,62,0,522,0,0
4,240,59,0,522,0,0
4.016667,241,62,0,522,0,0
4.033333,242,59,0,522,0,0
4.05,243,61,0,522,0,0
4.066667,244,60,0,522,0,0
4.083333,245,60,0,522,0,0
4.1,246,57,0,522,0,0
4.116667,247,62,0,522,0,0
4.133333,248,61,0,522,0,0
4.15,249,60,0,522,0,0
4.166667,250,58,0,522,0,0
4.183333,251,61,0,522,0,0
4.2,252,59,0,522,0,0
4.216667,253,61,0,522,0,0
4.233333,254,57,0,522,0,0
4.25,255,62,0,522,0,0
4.266667,256,61,0,522,0,0
4.283333,257,59,0,522,0,0
4.3,258,59,0,522,0,0
4.316667,259,62,0,522,0,0
4.333333,260,59,0,522,0,0
4.35,261,59,0,522,0,0
4.366667,262,62,0,522,0,0
4.383333,263,58,0,522,0,0
4.4,264,62,0,522,0,0
4.416667,265,59,0,522,0,0
4.433333,266,58,0,522,0,0
4.45,267,62,0,522,0,0
4.466667,268,58,0,522,0,0
4.483333,269,61,0,522,0,0
4.5,270,59,0,522,0,0
4.516667,271,58,0,522,0,0
4.533333,272,62,0,522,0,0
4.55,273,60,0,522,0,0
4.566667,274,60,0,522,0,0
4.583333,275,59,0,522,0,0
4.6,276,58,0,522,0,0
4.616667,277,62,0,522,0,0
4.633333,278,59,0,522,0,0
4.65,279,61,0,522,0,0
4.666667,280,59,0,522,0,0
4.683333,281,59,1,522,0,0
4.7,282,58,1,586,63,63
4.716667,283,63,1,650,63,63
4.733333,284,60,1,650,63,63
4.75,285,60,1,714,31,31
4.766667,286,59,1,778,32,32
4.783333,287,53,1,778,63,63
4.8,288,58,1,838,63,63
4.816667,289,62,1,902,31,31
4.833333,290,36,1,946,36,36
4.85,291,49,1,946,58,58
4.866667,292,61,1,982,62,62
4.883333,293,75,1,982,62,62
4.9,294,59,1,1010,0,0
4.916667,295,33,1,1010,62,62
4.933333,296,60,1,1034,62,62
4.95,297,59,1,1034,62,62
4.966667,298,61,1,1034,62,62
4.983333,299,57,1,1034,0,0
5,300,28,1,1034,61,61
5.016667,301,60,1,1034,61,61
5.033333,302,59,1,1050,61,61
5.05,303,61,1,1050,61,61
5.066667,304,60,1,1050,0,0
5.083333,305,28,1,1050,60,60
5.1,306,60,1,1078,60,60
5.116667,307,59,1,1078,44,44
5.133333,308,61,1,1078,59,59
5.15,309,60,1,1078,15,15
5.166667,310,59,1,1078,47,47
5.183333,311,61,1,1110,56,56
5.2,312,59,1,1110,60,60
5.216667,313,58,1,1154,54,54
5.233333,314,63,1,1154,60,60
5.25,315,59,1,1154,6,6
5.266667,316,53,1,1154,54,54
5.283333,317,58,1,1154,60,60
5.3,318,62,1,1154,60,60
5.316667,319,59,1,1170,40,40
5.333333,320,61,1,1170,60,60
5.35,321,60,1,1170,20,20
5.366667,322,60,1,1210,60,60
5.383333,323,57,1,1254,40,40
5.4,324,60,1,1254,60,60
5.416667,325,60,1,1262,26,26
5.433333,326,59,1,1262,54,54
5.45,327,60,1,1262,60,60
5.466667,328,60,1,1282,40,40
5.483333,329,59,1,1282,26,26
5.5,330,61,1,1282,54,54
5.516667,331,60,1,1282,60,60
5.533333,332,60,1,1282,60,60
5.55,333,57,1,1314,19,19
5.566667,334,52,1,1314,43,43
5.583333,335,59,1,1330,59,59
5.6,336,61,1,1330,60,60
5.616667,337,59,1,1330,55,55
5.633333,338,61,1,1366,24,24
5.65,339,51,1,1430,43,43
5.666667,340,58,1,1430,60,60
5.683333,341,62,1,1430,55,55
5.7,342,59,1,1478,49,49
5.716667,343,61,1,1478,33,33
5.733333,344,59,1,1478,46,46
5.75,345,60,1,1486,55,55
5.766667,346,60,1,1486,61,61
5.783333,347,58,1,1550,24,24
5.8,348,49,1,1550,43,43
5.816667,349,60,1,1566,55,55
5.833333,350,58,1,1574,61,61
5.85,351,61,1,1574,29,29
5.866667,352,60,1,1574,38,38
5.883333,353,60,1,1574,61,61
5.9,354,60,1,1602,55,55
5.916667,355,58,1,1626,29,29
5.933333,356,54,1,1626,44,44
5.95,357,60,1,1650,55,55
5.966667,358,59,1,1650,55,55
5.983333,359,61,1,1650,61,61
6,360,59,1,1650,29,29
6.016667,361,58,1,1654,41,41
6.033333,362,57,1,1690,52,52
6.05,363,62,1,1714,61,61
6.066667,364,58,1,1714,60,60
6.083333,365,63,1,1714,61,61
6.1,366,60,1,1714,10,10
6.116667,367,40,1,1714,52,52
6.133333,368,60,1,1714,61,61
6.15,369,58,1,1714,60,60
6.166667,370,60,1,1742,61,61
6.183333,371,57,1,1742,10,10
6.2,372,35,1,1742,34,34
6.216667,373,60,1,1742,34,34
6.233333,374,58,1,1742,33,33
6.25,375,59,1,1742,28,28
6.266667,376,62,1,1742,0,0
6.283333,377,61,1,1742,0,0
6.3,378,60,1,1762,20,20
6.316667,379,58,1,1762,20,20
6.333333,380,62,1,1762,20,20
6.35,381,59,1,1762,0,0
6.366667,382,61,1,1762,0,0
6.383333,383,59,1,1762,0,0
6.4,384,59,1,1762,0,0
6.416667,385,61,1,1762,0,0
6.433333,386,59,1,1762,0,0
6.45,387,61,1,1762,0,0
6.466667,388,57,1,1762,0,0
6.483333,389,62,1,1762,0,0
6.5,390,58,1,1762,0,0
6.516667,391,62,1,1762,0,0
6.533333,392,58,1,1762,0,0
6.55,393,62,1,1762,0,0
6.566667,394,58,1,1762,0,0
6.583333,395,61,1,1762,0,0
6.6,396,59,1,1762,0,0
6.616667,397,58,1,1762,0,0
6.633333,398,62,1,1762,0,0
6.65,399,59,1,1762,0,0
6.666667,400,61,1,1762,0,0
6.683333,401,59,1,1762,0,0
6.7,402,59,1,1762,0,0
6.716667,403,62,1,1762,0,0
6.733333,404,59,1,1762,0,0
6.75,405,60,1,1762,0,0
6.766667,406,58,1,1762,0,0
6.783333,407,62,1,1762,0,0
6.8,408,59,1,1762,0,0
6.816667,409,61,1,1762,0,0
6.833333,410,59,1,1762,0,0
6.85,411,58,1,1762,0,0
6.866667,412,62,1,1762,0,0
6.883333,413,59,1,1762,0,0
6.9,414,61,1,1762,0,0
6.916667,415,59,1,1762,0,0
6.933333,416,59,1,1762,0,0
6.95,417,62,1,1762,0,0
6.966667,418,59,1,1762,0,0
6.983333,419,58,1,1762,0,0
7,420,62,1,1762,0,0
7.016667,421,58,1,1762,0,0
7.033333,422,61,1,1762,0,0
7.05,423,59,1,1762,0,0
7.066667,424,58,1,1762,0,0
7.083333,425,59,1,1762,0,0
7.1,426,62,1,1762,0,0
7.116667,427,61,1,1762,0,0
7.133333,428,59,1,1762,0,0
7.15,429,59,1,1762,0,0
7.166667,430,62,1,1762,0,0
7.183333,431,59,1,1762,0,0
7.2,432,61,1,1762,0,0
7.216667,433,60,1,1762,0,0
7.233333,434,58,1,1762,0,0
7.25,435,62,1,1762,0,0
7.266667,436,59,1,1762,0,0
7.283333,437,61,1,1762,0,0
7.3,438,60,1,1762,0,0
7.316667,439,58,1,1762,0,0
7.333333,440,62,1,1762,0,0
7.35,441,59,1,1762,0,0
7.366667,442,58,1,1762,0,0
7.383333,443,62,1,1762,0,0
7.4,444,59,1,1762,0,0
7.416667,445,61,1,1762,0,0
7.433333,446,59,1,1762,0,0
7.45,447,59,1,1762,0,0
7.466667,448,62,1,1762,0,0
7.483333,449,59,1,1762,0,0
7.5,450,61,1,1762,0,0
7.516667,451,60,1,1762,0,0
7.533333,452,58,1,1762,0,0
7.55,453,62,1,1762,0,0
7.566667,454,59,1,1762,0,0
7.583333,455,58,1,1762,0,0
7.6,456,62,1,1762,0,0
7.616667,457,60,1,1762,0,0
7.633333,458,57,1,1762,0,0
7.65,459,62,1,1762,0,0
7.666667,460,61,1,1762,0,0
7.683333,461,59,1,1762,0,0
7.7,462,59,1,1762,0,0
7.716667,463,62,1,1762,0,0
7.733333,464,59,1,1762,0,0
7.75,465,61,1,1762,0,0
7.766667,466,60,1,1762,0,0
7.783333,467,60,1,1762,0,0
7.8,468,59,1,1762,0,0
7.816667,469,61,1,1762,0,0
7.833333,470,60,1,1762,0,0
7.85,471,58,1,1762,0,0
7.866667,472,59,1,1762,0,0
7.883333,473,62,1,1762,0,0
7.9,474,61,1,1762,0,0
7.916667,475,60,1,1762,0,0
7.933333,476,60,1,1762,0,0
7.95,477,57,1,1762,0,0
7.966667,478,62,1,1762,0,0
7.983333,479,60,1,1762,0,0
8,480,60,1,1762,0,0
8.016666,481,59,1,1762,0,0
8.033334,482,58,1,1762,0,0
8.05,483,62,1,1762,0,0
8.066667,484,58,1,1762,0,0
8.083333,485,62,1,1762,0,0
8.1,486,59,1,1762,0,0
8.116667,487,58,1,1762,0,0
8.133333,488,61,1,1762,0,0
8.15,489,59,1,1762,0,0
8.166667,490,62,1,1762,0,0
8.183333,491,60,1,1762,0,0
8.2,492,60,1,1762,0,0
8.216666,493,59,1,1762,0,0
8.233334,494,61,1,1762,0,0
8.25,495,60,1,1762,0,0
8.266666,496,60,1,1762,0,0
8.283334,497,60,1,1762,0,0
8.3,498,60,1,1762,0,0
8.316667,499,59,1,1762,0,0
8.333333,500,58,1,1762,0,0
8.35,501,62,1,1762,0,0
8.366667,502,59,1,1762,0,0
8.383333,503,61,1,1762,0,0
8.4,504,60,1,1762,0,0
8.416667,505,58,1,1762,0,0
8.433333,506,62,1,1762,0,0
8.45,507,58,1,1762,0,0
8.466666,508,61,1,1762,0,0
8.483334,509,59,1,1762,0,0
8.5,510,60,1,1762,0,0
8.516666,511,60,1,1762,0,0
8.533334,512,59,1,1762,0,0
8.55,513,61,1,1762,0,0
8.566667,514,60,1,1762,0,0
8.583333,515,58,1,1762,0,0
8.6,516,62,1,1762,0,0
8.616667,517,59,1,1762,0,0
8.633333,518,59,1,1762,0,0
8.65,519,62,1,1762,0,0
8.666667,520,59,1,1762,0,0
8.683333,521,61,1,1762,0,0
8.7,522,60,1,1762,0,0
8.716666,523,57,1,1762,0,0
8.733334,524,63,1,1762,0,0
8.75,525,57,1,1762,0,0
8.766666,526,62,1,1762,0,0
8.783334,527,59,1,1762,0,0
8.8,528,62,1,1762,0,0
8.816667,529,58,1,1762,0,0
8.833333,530,59,1,1762,0,0
8.85,531,63,1,1762,0,0
8.866667,532,59,1,1762,0,0
8.883333,533,60,1,1762,0,0
8.9,534,60,1,1762,0,0
8.916667,535,59,1,1762,0,0
8.933333,536,59,1,1762,0,0
8.95,537,62,1,1762,0,0
8.966666,538,59,1,1762,0,0
8.983334,539,61,1,1762,0,0
9,540,60,1,1762,0,0
9.016666,541,59,1,1762,0,0
9.033334,542,59,1,1762,0,0
9.05,543,62,1,1762,0,0
9.066667,544,60,1,1762,0,0
9.083333,545,59,1,1762,0,0
9.1,546,59,1,1762,0,0
9.116667,547,62,1,1762,0,0
9.133333,548,60,1,1762,0,0
9.15,549,59,1,1762,0,0
9.166667,550,58,1,1762,0,0
9.183333,551,62,1,1762,0,0
9.2,552,61,1,1762,0,0
9.216666,553,60,1,1762,0,0
9.233334,554,60,1,1762,0,0
9.25,555,60,1,1762,0,0
9.266666,556,58,1,1762,0,0
9.283334,557,62,1,1762,0,0
9.3,558,59,1,1762,0,0
9.316667,559,58,1,1762,0,0
9.333333,560,62,1,1762,0,0
9.35,561,59,1,1762,0,0
9.366667,562,61,1,1762,0,0
9.383333,563,59,1,1762,0,0
9.4,564,60,1,1762,0,0
9.416667,565,60,1,1762,0,0
9.433333,566,59,1,1762,0,0
9.45,567,61,1,1762,0,0
9.466666,568,59,1,1762,0,0
9.483334,569,58,1,1762,0,0
9.5,570,62,1,1762,0,0
9.516666,571,59,1,1762,0,0
9.533334,572,61,1,1762,0,0
9.55,573,60,1,1762,0,0
9.566667,574,59,1,1762,0,0
9.583333,575,61,1,1762,0,0
9.6,576,59,1,1762,0,0
9.616667,577,58,2,1762,0,0
9.633333,578,62,2,1826,63,63
9.65,579,60,2,1890,63,63
9.666667,580,60,2,1910,63,63
9.683333,581,59,2,1910,63,63
9.7,582,59,2,1882,0,0
9.716666,583,29,2,1914,63,63
9.733334,584,57,2,1974,63,63
9.75,585,62,2,2038,63,63
9.766666,586,60,2,2038,63,63
9.783334,587,60,2,2102,0,0
9.8,588,27,2,2102,62,62
9.816667,589,60,2,2094,62,62
9.833333,590,59,2,2090,62,62
9.85,591,59,2,2090,35,35
9.866667,592,62,2,2090,61,61
9.883333,593,59,2,2090,26,26
9.9,594,53,2,2090,61,61
9.916667,595,60,2,2138,35,35
9.933333,596,60,2,2186,61,61
9.95,597,60,2,2186,26,26
9.966666,598,45,2,2186,61,61
9.983334,599,60,2,2186,35,35
10,600,60,2,2186,61,61
10.01667,601,59,2,2250,60,60
10.03333,602,61,2,2250,27,27
10.05,603,50,2,2250,49,49
10.06667,604,27,2,2250,47,47
10.08333,605,59,2,2266,59,59
10.1,606,60,2,2266,60,60
10.11667,607,60,2,2266,60,60
10.13333,608,60,2,2266,14,14
10.15,609,43,2,2266,47,47
10.16667,610,58,2,2266,58,58
10.18333,611,62,2,2266,60,60
10.2,612,60,2,2266,60,60
10.21667,613,60,2,2266,14,14
10.23333,614,46,2,2290,48,48
10.25,615,60,2,2290,57,57
10.26667,616,60,2,2290,60,60
10.28333,617,59,2,2290,57,57
10.3,618,61,2,2290,17,17
10.31667,619,50,2,2290,49,49
